sport_type,day_of_week,start_hour,price,month,is_weekend,previous_booking_count,field_capacity,demand_level
tennis,4,20,490000,6,0,14,6,MEDIUM
bóng đá,5,15,810000,11,1,22,14,HIGH
bóng đá,0,7,750000,7,0,16,16,HIGH
pickleball,2,10,210000,9,0,8,6,LOW
cầu lông,2,18,220000,3,0,12,2,MEDIUM
tennis,2,13,420000,11,0,3,4,LOW
tennis,1,16,420000,10,0,5,4,LOW
bóng rổ,4,7,390000,10,0,6,12,LOW
bóng rổ,3,18,400000,10,0,11,12,MEDIUM
tennis,0,9,350000,9,0,6,4,LOW
bóng đá,2,20,870000,12,0,18,14,HIGH
cầu lông,5,8,170000,9,1,17,4,HIGH
bóng rổ,3,20,480000,3,0,11,10,LOW
cầu lông,4,16,190000,10,0,7,2,LOW
pickleball,2,19,270000,6,0,8,4,LOW
cầu lông,6,14,150000,10,1,12,4,MEDIUM
pickleball,3,17,240000,2,0,8,4,MEDIUM
tennis,4,20,410000,4,0,8,2,MEDIUM
pickleball,3,13,310000,10,0,7,2,LOW
pickleball,6,17,300000,3,1,14,8,HIGH
bóng đá,5,11,580000,9,1,21,12,HIGH
bóng đá,5,20,840000,5,1,15,14,HIGH
cầu lông,3,6,210000,2,0,7,2,LOW
bóng đá,5,20,750000,6,1,18,12,HIGH
pickleball,3,20,220000,4,0,15,6,HIGH
bóng rổ,2,19,360000,3,0,12,16,MEDIUM
pickleball,1,10,200000,10,0,13,8,MEDIUM
bóng đá,0,13,560000,3,0,7,16,LOW
bóng đá,4,9,610000,1,0,13,18,MEDIUM
pickleball,3,9,260000,7,0,7,2,LOW
bóng đá,0,17,770000,5,0,20,14,HIGH
cầu lông,5,20,220000,4,1,15,4,HIGH
bóng đá,3,15,630000,6,0,9,16,LOW
bóng rổ,2,21,430000,3,0,18,12,HIGH
pickleball,3,19,240000,8,0,15,4,MEDIUM
tennis,5,9,430000,7,1,12,8,MEDIUM
pickleball,5,21,310000,2,1,20,8,HIGH
bóng đá,5,8,720000,9,1,15,14,HIGH
cầu lông,4,19,210000,7,0,17,2,HIGH
bóng đá,6,18,810000,9,1,17,12,HIGH
pickleball,5,11,220000,10,1,11,8,MEDIUM
cầu lông,1,19,190000,9,0,16,4,HIGH
tennis,5,8,380000,12,1,8,4,LOW
pickleball,3,8,220000,9,0,10,6,LOW
tennis,5,20,330000,3,1,15,2,MEDIUM
tennis,0,20,330000,12,0,3,4,LOW
tennis,3,20,440000,8,0,8,4,LOW
bóng đá,6,7,600000,1,1,20,14,HIGH
bóng đá,2,16,690000,12,0,15,14,MEDIUM
cầu lông,1,18,190000,6,0,9,4,MEDIUM
bóng đá,6,11,740000,2,1,12,14,MEDIUM
cầu lông,4,17,190000,11,0,11,4,MEDIUM
bóng đá,0,17,770000,7,0,19,14,HIGH
cầu lông,2,18,220000,3,0,11,4,MEDIUM
pickleball,5,17,320000,7,1,22,4,HIGH
